vote_2020,gender,census_region,education,state,age,vote_trump,sex,educd,statefip,vote_biden,sex1
Donald Trump,Male,West,High school graduate,CO,67,1,1,High school graduate,CO,0,1
Joe Biden,Female,South,Masters degree,GA,50,0,0,Masters degree,GA,1,2
Donald Trump,Female,Midwest,High school graduate,KS,70,1,0,High school graduate,KS,0,2
Donald Trump,Female,Northeast,"Completed some college, but no degree",PA,40,1,0,"Completed some college, but no degree",PA,0,2
NA,Female,South,"Completed some graduate, but no degree",FL,19,NA,0,"Completed some graduate, but no degree",FL,NA,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",CA,73,1,1,"College Degree (such as B.A., B.S.)",CA,0,1
Donald Trump,Male,Midwest,"Completed some college, but no degree",WI,50,1,1,"Completed some college, but no degree",WI,0,1
Donald Trump,Female,South,Other post high school vocational training,NC,37,1,0,Other post high school vocational training,NC,0,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,25,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,39,0,0,"College Degree (such as B.A., B.S.)",NJ,1,2
Donald Trump,Male,South,High school graduate,TX,81,1,1,High school graduate,TX,0,1
Donald Trump,Male,West,Associate Degree,CA,72,1,1,Associate Degree,CA,0,1
Joe Biden,Male,West,Associate Degree,CA,74,0,1,Associate Degree,CA,1,1
Joe Biden,Female,South,High school graduate,LA,78,0,0,High school graduate,LA,1,2
I am not sure/don't know,Male,South,High school graduate,TX,73,0,1,High school graduate,TX,0,1
Joe Biden,Male,West,"Completed some graduate, but no degree",CA,59,0,1,"Completed some graduate, but no degree",CA,1,1
Donald Trump,Female,South,High school graduate,FL,75,1,0,High school graduate,FL,0,2
I am not sure/don't know,Female,South,Completed some high school,KY,24,0,0,Completed some high school,KY,0,2
Someone else,Female,West,Completed some high school,CA,21,0,0,Completed some high school,CA,0,2
Donald Trump,Male,West,Doctorate degree,CA,70,1,1,Doctorate degree,CA,0,1
Donald Trump,Female,Midwest,"Completed some college, but no degree",MN,65,1,0,"Completed some college, but no degree",MN,0,2
Joe Biden,Female,South,"Completed some college, but no degree",AL,43,0,0,"Completed some college, but no degree",AL,1,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CA,72,0,1,"College Degree (such as B.A., B.S.)",CA,1,1
I am not sure/don't know,Male,Northeast,Doctorate degree,NY,42,0,1,Doctorate degree,NY,0,1
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",IL,73,0,0,"College Degree (such as B.A., B.S.)",IL,1,2
Joe Biden,Male,Midwest,Other post high school vocational training,WI,76,0,1,Other post high school vocational training,WI,1,1
Someone else,Female,Midwest,Middle School - Grades 4 - 8,IL,50,0,0,Middle School - Grades 4 - 8,IL,0,2
Joe Biden,Male,Northeast,"Completed some college, but no degree",NY,32,0,1,"Completed some college, but no degree",NY,1,1
I would not vote,Male,Northeast,Associate Degree,NJ,65,0,1,Associate Degree,NJ,0,1
Donald Trump,Male,Northeast,"Completed some graduate, but no degree",NJ,67,1,1,"Completed some graduate, but no degree",NJ,0,1
Donald Trump,Male,West,Masters degree,WA,72,1,1,Masters degree,WA,0,1
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",NV,74,1,1,"College Degree (such as B.A., B.S.)",NV,0,1
Joe Biden,Male,West,"Completed some college, but no degree",OR,34,0,1,"Completed some college, but no degree",OR,1,1
I am not sure/don't know,Female,Northeast,"College Degree (such as B.A., B.S.)",NY,53,0,0,"College Degree (such as B.A., B.S.)",NY,0,2
Joe Biden,Female,South,"Completed some college, but no degree",VA,26,0,0,"Completed some college, but no degree",VA,1,2
Joe Biden,Female,Northeast,Masters degree,NY,24,0,0,Masters degree,NY,1,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",MI,68,0,1,"College Degree (such as B.A., B.S.)",MI,1,1
Joe Biden,Male,Midwest,"Completed some college, but no degree",OH,66,0,1,"Completed some college, but no degree",OH,1,1
Joe Biden,Female,West,"Completed some college, but no degree",CA,33,0,0,"Completed some college, but no degree",CA,1,2
Joe Biden,Female,South,Associate Degree,VA,71,0,0,Associate Degree,VA,1,2
Donald Trump,Female,West,Other post high school vocational training,AZ,32,1,0,Other post high school vocational training,AZ,0,2
Joe Biden,Male,Midwest,"Completed some college, but no degree",IL,79,0,1,"Completed some college, but no degree",IL,1,1
Donald Trump,Male,West,"Completed some college, but no degree",AZ,69,1,1,"Completed some college, but no degree",AZ,0,1
Someone else,Male,Midwest,Associate Degree,IN,65,0,1,Associate Degree,IN,0,1
Someone else,Male,Midwest,"Completed some college, but no degree",IN,27,0,1,"Completed some college, but no degree",IN,0,1
Donald Trump,Female,Midwest,Associate Degree,MN,63,1,0,Associate Degree,MN,0,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",IL,69,0,1,"College Degree (such as B.A., B.S.)",IL,1,1
Donald Trump,Male,South,Masters degree,DC,50,1,1,Masters degree,DC,0,1
Donald Trump,Male,Northeast,Associate Degree,NJ,73,1,1,Associate Degree,NJ,0,1
Donald Trump,Female,South,Completed some high school,NC,25,1,0,Completed some high school,NC,0,2
I would not vote,Male,West,Completed some high school,AZ,30,0,1,Completed some high school,AZ,0,1
Joe Biden,Male,West,"Completed some college, but no degree",CA,77,0,1,"Completed some college, but no degree",CA,1,1
I would not vote,Female,Northeast,High school graduate,PA,38,0,0,High school graduate,PA,0,2
Donald Trump,Male,West,"Completed some graduate, but no degree",CO,27,1,1,"Completed some graduate, but no degree",CO,0,1
Donald Trump,Male,West,Associate Degree,AZ,29,1,1,Associate Degree,AZ,0,1
I am not sure/don't know,Female,South,Other post high school vocational training,TX,62,0,0,Other post high school vocational training,TX,0,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",CA,52,1,1,"College Degree (such as B.A., B.S.)",CA,0,1
Joe Biden,Female,West,Completed some high school,CO,19,0,0,Completed some high school,CO,1,2
Joe Biden,Male,West,High school graduate,NV,60,0,1,High school graduate,NV,1,1
Donald Trump,Male,Midwest,"Completed some graduate, but no degree",SD,73,1,1,"Completed some graduate, but no degree",SD,0,1
Joe Biden,Female,West,"Completed some college, but no degree",AZ,50,0,0,"Completed some college, but no degree",AZ,1,2
Joe Biden,Male,Northeast,"Completed some college, but no degree",RI,60,0,1,"Completed some college, but no degree",RI,1,1
Donald Trump,Male,Midwest,High school graduate,IL,26,1,1,High school graduate,IL,0,1
Joe Biden,Male,West,Other post high school vocational training,CA,60,0,1,Other post high school vocational training,CA,1,1
Joe Biden,Female,West,High school graduate,CA,20,0,0,High school graduate,CA,1,2
Donald Trump,Male,Northeast,"Completed some college, but no degree",NY,34,1,1,"Completed some college, but no degree",NY,0,1
Joe Biden,Male,South,"College Degree (such as B.A., B.S.)",TX,39,0,1,"College Degree (such as B.A., B.S.)",TX,1,1
Joe Biden,Male,Midwest,Doctorate degree,IL,32,0,1,Doctorate degree,IL,1,1
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",FL,35,0,0,"College Degree (such as B.A., B.S.)",FL,1,2
Joe Biden,Female,South,Completed some high school,SC,20,0,0,Completed some high school,SC,1,2
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",MI,58,0,0,"College Degree (such as B.A., B.S.)",MI,1,2
I am not sure/don't know,Female,South,Completed some high school,FL,54,0,0,Completed some high school,FL,0,2
Joe Biden,Male,Northeast,Masters degree,NY,67,0,1,Masters degree,NY,1,1
Donald Trump,Female,South,Completed some high school,KY,59,1,0,Completed some high school,KY,0,2
I would not vote,Male,South,Masters degree,TX,31,0,1,Masters degree,TX,0,1
Donald Trump,Female,West,High school graduate,CA,55,1,0,High school graduate,CA,0,2
Joe Biden,Male,South,Associate Degree,TX,41,0,1,Associate Degree,TX,1,1
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",GA,23,1,0,"College Degree (such as B.A., B.S.)",GA,0,2
I am not sure/don't know,Female,Northeast,Associate Degree,MA,32,0,0,Associate Degree,MA,0,2
Donald Trump,Male,West,High school graduate,CA,22,1,1,High school graduate,CA,0,1
Donald Trump,Female,South,Other post high school vocational training,FL,22,1,0,Other post high school vocational training,FL,0,2
I am not sure/don't know,Female,Midwest,Completed some high school,IL,55,0,0,Completed some high school,IL,0,2
I am not sure/don't know,Male,South,High school graduate,TN,21,0,1,High school graduate,TN,0,1
Joe Biden,Female,Northeast,"Completed some college, but no degree",NY,32,0,0,"Completed some college, but no degree",NY,1,2
Joe Biden,Female,Northeast,Masters degree,NY,66,0,0,Masters degree,NY,1,2
Donald Trump,Male,Northeast,Doctorate degree,NY,42,1,1,Doctorate degree,NY,0,1
I am not sure/don't know,Male,West,"Completed some college, but no degree",CA,28,0,1,"Completed some college, but no degree",CA,0,1
I would not vote,Male,South,Masters degree,TX,18,0,1,Masters degree,TX,0,1
Donald Trump,Male,South,Masters degree,TX,39,1,1,Masters degree,TX,0,1
Joe Biden,Female,Midwest,High school graduate,MO,64,0,0,High school graduate,MO,1,2
Donald Trump,Male,West,Masters degree,NV,28,1,1,Masters degree,NV,0,1
I am not sure/don't know,Female,Midwest,High school graduate,IL,19,0,0,High school graduate,IL,0,2
I am not sure/don't know,Female,Midwest,Associate Degree,KS,66,0,0,Associate Degree,KS,0,2
I am not sure/don't know,Female,West,Associate Degree,UT,47,0,0,Associate Degree,UT,0,2
Donald Trump,Female,Northeast,Completed some high school,PA,39,1,0,Completed some high school,PA,0,2
Joe Biden,Male,West,"Completed some college, but no degree",CO,68,0,1,"Completed some college, but no degree",CO,1,1
I would not vote,Female,South,High school graduate,GA,65,0,0,High school graduate,GA,0,2
Joe Biden,Female,South,High school graduate,GA,93,0,0,High school graduate,GA,1,2
Joe Biden,Female,South,Masters degree,LA,65,0,0,Masters degree,LA,1,2
Joe Biden,Male,West,Completed some high school,WY,18,0,1,Completed some high school,WY,1,1
Joe Biden,Female,Northeast,High school graduate,CT,60,0,0,High school graduate,CT,1,2
Joe Biden,Male,Midwest,Masters degree,IL,42,0,1,Masters degree,IL,1,1
I would not vote,Male,Midwest,High school graduate,IL,18,0,1,High school graduate,IL,0,1
Donald Trump,Male,Northeast,Doctorate degree,NJ,41,1,1,Doctorate degree,NJ,0,1
Joe Biden,Female,South,Associate Degree,FL,62,0,0,Associate Degree,FL,1,2
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",SC,54,1,1,"College Degree (such as B.A., B.S.)",SC,0,1
Joe Biden,Female,West,Associate Degree,CA,58,0,0,Associate Degree,CA,1,2
Donald Trump,Female,South,Masters degree,GA,34,1,0,Masters degree,GA,0,2
I am not sure/don't know,Male,South,"College Degree (such as B.A., B.S.)",FL,27,0,1,"College Degree (such as B.A., B.S.)",FL,0,1
I am not sure/don't know,Female,West,"Completed some college, but no degree",AZ,27,0,0,"Completed some college, but no degree",AZ,0,2
Joe Biden,Female,Northeast,Completed some high school,NY,59,0,0,Completed some high school,NY,1,2
Joe Biden,Female,Northeast,High school graduate,NJ,60,0,0,High school graduate,NJ,1,2
Donald Trump,Male,Northeast,"Completed some college, but no degree",NJ,79,1,1,"Completed some college, but no degree",NJ,0,1
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",WI,55,1,1,"College Degree (such as B.A., B.S.)",WI,0,1
Joe Biden,Male,South,Masters degree,MD,39,0,1,Masters degree,MD,1,1
Donald Trump,Female,Midwest,High school graduate,OH,35,1,0,High school graduate,OH,0,2
Joe Biden,Female,South,"Completed some graduate, but no degree",VA,66,0,0,"Completed some graduate, but no degree",VA,1,2
Someone else,Male,Midwest,"College Degree (such as B.A., B.S.)",OH,37,0,1,"College Degree (such as B.A., B.S.)",OH,0,1
Donald Trump,Male,Midwest,"Completed some graduate, but no degree",MI,77,1,1,"Completed some graduate, but no degree",MI,0,1
Donald Trump,Male,West,Associate Degree,WA,46,1,1,Associate Degree,WA,0,1
Donald Trump,Male,Northeast,"College Degree (such as B.A., B.S.)",NJ,73,1,1,"College Degree (such as B.A., B.S.)",NJ,0,1
Donald Trump,Male,South,Other post high school vocational training,TX,74,1,1,Other post high school vocational training,TX,0,1
Donald Trump,Female,Midwest,"Completed some college, but no degree",OH,36,1,0,"Completed some college, but no degree",OH,0,2
Donald Trump,Male,Midwest,Other post high school vocational training,MO,52,1,1,Other post high school vocational training,MO,0,1
I would not vote,Male,South,"College Degree (such as B.A., B.S.)",MS,50,0,1,"College Degree (such as B.A., B.S.)",MS,0,1
Someone else,Male,South,"College Degree (such as B.A., B.S.)",FL,31,0,1,"College Degree (such as B.A., B.S.)",FL,0,1
Joe Biden,Male,Northeast,High school graduate,MA,29,0,1,High school graduate,MA,1,1
I am not sure/don't know,Female,South,"Completed some college, but no degree",LA,25,0,0,"Completed some college, but no degree",LA,0,2
Donald Trump,Male,South,"Completed some college, but no degree",NC,77,1,1,"Completed some college, but no degree",NC,0,1
Donald Trump,Male,West,Doctorate degree,CA,40,1,1,Doctorate degree,CA,0,1
Donald Trump,Male,West,"Completed some college, but no degree",CA,36,1,1,"Completed some college, but no degree",CA,0,1
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",FL,41,1,1,"College Degree (such as B.A., B.S.)",FL,0,1
Joe Biden,Male,West,Other post high school vocational training,AZ,68,0,1,Other post high school vocational training,AZ,1,1
Donald Trump,Male,Midwest,Associate Degree,IL,55,1,1,Associate Degree,IL,0,1
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",WA,47,1,1,"College Degree (such as B.A., B.S.)",WA,0,1
Joe Biden,Male,South,High school graduate,GA,42,0,1,High school graduate,GA,1,1
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NJ,53,0,1,"College Degree (such as B.A., B.S.)",NJ,1,1
Donald Trump,Male,Midwest,"Completed some college, but no degree",IL,37,1,1,"Completed some college, but no degree",IL,0,1
Donald Trump,Male,Northeast,Other post high school vocational training,PA,69,1,1,Other post high school vocational training,PA,0,1
Joe Biden,Female,Midwest,Associate Degree,OH,63,0,0,Associate Degree,OH,1,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CA,60,0,1,"College Degree (such as B.A., B.S.)",CA,1,1
Joe Biden,Male,South,"Completed some college, but no degree",TX,67,0,1,"Completed some college, but no degree",TX,1,1
I am not sure/don't know,Male,South,Masters degree,FL,39,0,1,Masters degree,FL,0,1
I would not vote,Female,Midwest,"Completed some college, but no degree",WI,24,0,0,"Completed some college, but no degree",WI,0,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",UT,36,1,1,"College Degree (such as B.A., B.S.)",UT,0,1
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",OH,56,0,0,"College Degree (such as B.A., B.S.)",OH,1,2
Donald Trump,Male,Northeast,Masters degree,NY,45,1,1,Masters degree,NY,0,1
Donald Trump,Female,Northeast,Completed some high school,NJ,35,1,0,Completed some high school,NJ,0,2
Joe Biden,Male,Northeast,Completed some high school,NY,19,0,1,Completed some high school,NY,1,1
Donald Trump,Female,South,High school graduate,OK,39,1,0,High school graduate,OK,0,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",CA,36,1,1,"College Degree (such as B.A., B.S.)",CA,0,1
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",GA,27,1,0,"College Degree (such as B.A., B.S.)",GA,0,2
Joe Biden,Male,South,"College Degree (such as B.A., B.S.)",KY,53,0,1,"College Degree (such as B.A., B.S.)",KY,1,1
Joe Biden,Male,South,"Completed some college, but no degree",WV,71,0,1,"Completed some college, but no degree",WV,1,1
I would not vote,Male,Midwest,"College Degree (such as B.A., B.S.)",OH,31,0,1,"College Degree (such as B.A., B.S.)",OH,0,1
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",MI,46,1,0,"College Degree (such as B.A., B.S.)",MI,0,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CA,70,0,1,"College Degree (such as B.A., B.S.)",CA,1,1
I am not sure/don't know,Male,West,Other post high school vocational training,AZ,71,0,1,Other post high school vocational training,AZ,0,1
I would not vote,Female,South,High school graduate,TX,18,0,0,High school graduate,TX,0,2
I am not sure/don't know,Male,South,High school graduate,GA,19,0,1,High school graduate,GA,0,1
Joe Biden,Female,South,Completed some high school,KY,26,0,0,Completed some high school,KY,1,2
Joe Biden,Female,South,High school graduate,NC,56,0,0,High school graduate,NC,1,2
Donald Trump,Male,Midwest,Associate Degree,KS,60,1,1,Associate Degree,KS,0,1
I am not sure/don't know,Male,Midwest,"College Degree (such as B.A., B.S.)",KS,45,0,1,"College Degree (such as B.A., B.S.)",KS,0,1
Joe Biden,Male,West,"Completed some college, but no degree",OR,50,0,1,"Completed some college, but no degree",OR,1,1
Joe Biden,Male,Northeast,High school graduate,NH,57,0,1,High school graduate,NH,1,1
Donald Trump,Male,South,"Completed some graduate, but no degree",GA,55,1,1,"Completed some graduate, but no degree",GA,0,1
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",FL,49,1,1,"College Degree (such as B.A., B.S.)",FL,0,1
Joe Biden,Female,Midwest,Doctorate degree,MI,57,0,0,Doctorate degree,MI,1,2
Donald Trump,Male,South,"Completed some graduate, but no degree",TN,75,1,1,"Completed some graduate, but no degree",TN,0,1
Donald Trump,Female,West,Associate Degree,NV,53,1,0,Associate Degree,NV,0,2
Donald Trump,Male,West,High school graduate,WA,40,1,1,High school graduate,WA,0,1
Joe Biden,Male,Midwest,Associate Degree,MO,64,0,1,Associate Degree,MO,1,1
Joe Biden,Male,South,"Completed some graduate, but no degree",NC,26,0,1,"Completed some graduate, but no degree",NC,1,1
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",VA,34,0,0,"College Degree (such as B.A., B.S.)",VA,1,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",OR,57,0,1,"College Degree (such as B.A., B.S.)",OR,1,1
Donald Trump,Female,West,3rd Grade or less,CA,55,1,0,3rd Grade or less,CA,0,2
Donald Trump,Male,Northeast,"College Degree (such as B.A., B.S.)",PA,33,1,1,"College Degree (such as B.A., B.S.)",PA,0,1
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,44,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
I am not sure/don't know,Male,Northeast,Completed some high school,ME,48,0,1,Completed some high school,ME,0,1
Someone else,Male,West,Middle School - Grades 4 - 8,CA,29,0,1,Middle School - Grades 4 - 8,CA,0,1
Donald Trump,Male,South,Masters degree,TX,41,1,1,Masters degree,TX,0,1
Donald Trump,Female,South,Masters degree,TN,75,1,0,Masters degree,TN,0,2
Donald Trump,Male,West,Doctorate degree,CA,52,1,1,Doctorate degree,CA,0,1
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",PA,28,0,0,"College Degree (such as B.A., B.S.)",PA,1,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",OR,34,1,1,"College Degree (such as B.A., B.S.)",OR,0,1
Donald Trump,Female,Northeast,High school graduate,PA,57,1,0,High school graduate,PA,0,2
Donald Trump,Female,South,High school graduate,AR,75,1,0,High school graduate,AR,0,2
Joe Biden,Female,South,Associate Degree,LA,47,0,0,Associate Degree,LA,1,2
I would not vote,Female,South,High school graduate,NC,28,0,0,High school graduate,NC,0,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",NV,34,1,1,"College Degree (such as B.A., B.S.)",NV,0,1
I would not vote,Male,Midwest,Completed some high school,IN,66,0,1,Completed some high school,IN,0,1
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CA,23,0,1,"College Degree (such as B.A., B.S.)",CA,1,1
Joe Biden,Male,South,High school graduate,SC,20,0,1,High school graduate,SC,1,1
Joe Biden,Male,South,Completed some high school,MS,19,0,1,Completed some high school,MS,1,1
I am not sure/don't know,Female,Midwest,High school graduate,MI,20,0,0,High school graduate,MI,0,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",SC,79,0,0,"College Degree (such as B.A., B.S.)",SC,1,2
Someone else,Female,South,High school graduate,TX,18,0,0,High school graduate,TX,0,2
Joe Biden,Female,Northeast,Associate Degree,PA,28,0,0,Associate Degree,PA,1,2
Joe Biden,Female,West,"Completed some graduate, but no degree",OR,68,0,0,"Completed some graduate, but no degree",OR,1,2
Donald Trump,Female,South,Associate Degree,VA,66,1,0,Associate Degree,VA,0,2
Joe Biden,Female,South,Completed some high school,NC,18,0,0,Completed some high school,NC,1,2
Joe Biden,Female,South,"Completed some college, but no degree",TX,32,0,0,"Completed some college, but no degree",TX,1,2
I am not sure/don't know,Male,South,"College Degree (such as B.A., B.S.)",FL,45,0,1,"College Degree (such as B.A., B.S.)",FL,0,1
Joe Biden,Female,West,Other post high school vocational training,CA,40,0,0,Other post high school vocational training,CA,1,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",AZ,56,0,1,"College Degree (such as B.A., B.S.)",AZ,1,1
Joe Biden,Female,Northeast,"Completed some college, but no degree",NY,72,0,0,"Completed some college, but no degree",NY,1,2
Donald Trump,Female,South,"Completed some college, but no degree",AL,59,1,0,"Completed some college, but no degree",AL,0,2
Someone else,Male,South,"College Degree (such as B.A., B.S.)",LA,65,0,1,"College Degree (such as B.A., B.S.)",LA,0,1
I am not sure/don't know,Female,South,"Completed some college, but no degree",FL,26,0,0,"Completed some college, but no degree",FL,0,2
Joe Biden,Female,Midwest,Masters degree,IA,65,0,0,Masters degree,IA,1,2
Joe Biden,Female,South,"Completed some college, but no degree",TX,33,0,0,"Completed some college, but no degree",TX,1,2
Someone else,Male,South,Doctorate degree,TX,35,0,1,Doctorate degree,TX,0,1
Donald Trump,Female,Northeast,"Completed some graduate, but no degree",NJ,57,1,0,"Completed some graduate, but no degree",NJ,0,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",NV,28,0,1,"College Degree (such as B.A., B.S.)",NV,1,1
Someone else,Female,South,Associate Degree,MD,25,0,0,Associate Degree,MD,0,2
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",IN,52,1,1,"College Degree (such as B.A., B.S.)",IN,0,1
Joe Biden,Female,Northeast,Associate Degree,CT,65,0,0,Associate Degree,CT,1,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",CA,53,1,1,"College Degree (such as B.A., B.S.)",CA,0,1
Joe Biden,Female,Midwest,Associate Degree,OH,80,0,0,Associate Degree,OH,1,2
Joe Biden,Male,Midwest,"Completed some graduate, but no degree",OH,35,0,1,"Completed some graduate, but no degree",OH,1,1
Joe Biden,Female,Midwest,High school graduate,MN,44,0,0,High school graduate,MN,1,2
I would not vote,Male,South,Completed some high school,TN,38,0,1,Completed some high school,TN,0,1
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",PA,44,0,1,"College Degree (such as B.A., B.S.)",PA,1,1
Joe Biden,Female,West,Other post high school vocational training,NM,65,0,0,Other post high school vocational training,NM,1,2
Joe Biden,Male,West,"Completed some college, but no degree",CO,59,0,1,"Completed some college, but no degree",CO,1,1
Donald Trump,Male,South,"Completed some college, but no degree",TX,59,1,1,"Completed some college, but no degree",TX,0,1
Joe Biden,Female,West,Completed some high school,AZ,34,0,0,Completed some high school,AZ,1,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,23,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Joe Biden,Female,West,Masters degree,HI,50,0,0,Masters degree,HI,1,2
I would not vote,Female,South,"Completed some college, but no degree",TX,74,0,0,"Completed some college, but no degree",TX,0,2
I would not vote,Female,South,"College Degree (such as B.A., B.S.)",TX,63,0,0,"College Degree (such as B.A., B.S.)",TX,0,2
Donald Trump,Female,West,High school graduate,CA,53,1,0,High school graduate,CA,0,2
Donald Trump,Male,West,Completed some high school,ID,37,1,1,Completed some high school,ID,0,1
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",VA,41,1,1,"College Degree (such as B.A., B.S.)",VA,0,1
Joe Biden,Male,West,Associate Degree,HI,36,0,1,Associate Degree,HI,1,1
I am not sure/don't know,Female,West,"Completed some graduate, but no degree",CA,46,0,0,"Completed some graduate, but no degree",CA,0,2
Someone else,Male,West,"College Degree (such as B.A., B.S.)",CA,36,0,1,"College Degree (such as B.A., B.S.)",CA,0,1
I am not sure/don't know,Male,Midwest,"Completed some college, but no degree",MI,23,0,1,"Completed some college, but no degree",MI,0,1
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,49,0,1,"College Degree (such as B.A., B.S.)",NY,1,1
Donald Trump,Male,West,Masters degree,CA,30,1,1,Masters degree,CA,0,1
Joe Biden,Male,West,Other post high school vocational training,WA,68,0,1,Other post high school vocational training,WA,1,1
Joe Biden,Male,Midwest,"Completed some college, but no degree",IN,25,0,1,"Completed some college, but no degree",IN,1,1
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,42,0,1,"College Degree (such as B.A., B.S.)",NY,1,1
Donald Trump,Female,Midwest,Completed some high school,OH,21,1,0,Completed some high school,OH,0,2
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,20,0,1,"College Degree (such as B.A., B.S.)",NY,1,1
Donald Trump,Male,South,"Completed some graduate, but no degree",TX,27,1,1,"Completed some graduate, but no degree",TX,0,1
Donald Trump,Female,West,Completed some high school,NV,50,1,0,Completed some high school,NV,0,2
I am not sure/don't know,Male,Northeast,"Completed some college, but no degree",PA,56,0,1,"Completed some college, but no degree",PA,0,1
Donald Trump,Male,Northeast,"College Degree (such as B.A., B.S.)",RI,59,1,1,"College Degree (such as B.A., B.S.)",RI,0,1
Joe Biden,Female,Northeast,High school graduate,NY,19,0,0,High school graduate,NY,1,2
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",TX,62,1,1,"College Degree (such as B.A., B.S.)",TX,0,1
Joe Biden,Female,Midwest,High school graduate,IL,65,0,0,High school graduate,IL,1,2
Joe Biden,Male,Midwest,High school graduate,OH,35,0,1,High school graduate,OH,1,1
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",CT,37,0,0,"College Degree (such as B.A., B.S.)",CT,1,2
I would not vote,Female,Midwest,Completed some high school,IL,28,0,0,Completed some high school,IL,0,2
Joe Biden,Female,South,Associate Degree,GA,20,0,0,Associate Degree,GA,1,2
I am not sure/don't know,Male,South,Completed some high school,TX,37,0,1,Completed some high school,TX,0,1
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,33,0,1,"College Degree (such as B.A., B.S.)",NY,1,1
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CA,30,0,1,"College Degree (such as B.A., B.S.)",CA,1,1
Joe Biden,Male,Midwest,Completed some high school,IL,37,0,1,Completed some high school,IL,1,1
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",AL,35,1,0,"College Degree (such as B.A., B.S.)",AL,0,2
Donald Trump,Female,South,Completed some high school,SC,50,1,0,Completed some high school,SC,0,2
I am not sure/don't know,Female,South,Other post high school vocational training,LA,31,0,0,Other post high school vocational training,LA,0,2
Donald Trump,Male,South,"Completed some college, but no degree",TX,66,1,1,"Completed some college, but no degree",TX,0,1
Donald Trump,Male,West,Other post high school vocational training,AZ,35,1,1,Other post high school vocational training,AZ,0,1
I would not vote,Male,South,"College Degree (such as B.A., B.S.)",AL,22,0,1,"College Degree (such as B.A., B.S.)",AL,0,1
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",IL,45,0,0,"College Degree (such as B.A., B.S.)",IL,1,2
Joe Biden,Female,Northeast,Completed some high school,NY,43,0,0,Completed some high school,NY,1,2
Donald Trump,Male,Midwest,Middle School - Grades 4 - 8,IL,21,1,1,Middle School - Grades 4 - 8,IL,0,1
Donald Trump,Female,West,Associate Degree,CA,40,1,0,Associate Degree,CA,0,2
